성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류,연구개발단계,정부연구비,총연구비,당해연구시작일,당해연구종료일
2013,PTO-2013-0025660978,특허,글루코스 및 자일로스를 동시에 이용할 수 있는 변이대장균의 제조방법,10-2013-0096921,nan,국립대학법인 울산과학기술대학교 산학협력단;,"C12N 1/21,C12N 15/70",대한민국,nan,nan,nan,바이오연료 생산을 위한 인공 미생물 설계·제작 플랫폼 기술개발,1711001897,미래창조과학부,울산과학기술대학교,대학,기타기초·기반기술,신재생에너지,응용연구,160000000,160000000,20130930,20140929
2013,PTO-2013-0025675422,특허,당단백질의 탈당화 검출을 통한 암 마커 스크리닝 방법 및 간세포암 마커,10-2013-0095978,nan,서울대학교 산학협력단;,"C12Q 1/68,G01N 33/68,G01N 33/48",대한민국,nan,nan,nan,신경-면역 네트워크 교란으로 인한 기억장애의 질환 표지자 및 표적항체 발굴,1345171417,교육과학기술부,서울대학교,대학,단백질체 연구,생화학/구조생물학,기초연구,172000000,172000000,20120901,20130831
2013,PTO-2013-0025661396,특허,비정질 리튬전이금속 산화물 코팅층을 포함하는 리튬이차전지용 양극 및 그 제조방법,10-2013-0082346,nan,한국과학기술연구원;,"H01M 4/131,H01M 4/525,H01M 4/1391",대한민국,nan,nan,nan,리튬이차전지용 전극소재 자기완화형 구조제어 및 계면기능제어 기술개발,1711000831,미래창조과학부,한국과학기술연구원,출연연구소,에너지소재 기술,전지,기초연구,320000000,320000000,20130930,20140929
2013,PTO-2013-0025698737,특허,얼굴인식 보안 관제 시스템,10-2013-0015936,nan,동서대학교산학협력단;우원소프트㈜;,"G08B 13/196,H04N 7/18,G06K 9/46,G06T 7/00,A61B 5/1171,G06K 9/00",대한민국,nan,nan,nan,유비쿼터스 어플라이언스 지역혁신센터,1415127576,지식경제부,동서대학교,대학,멀티미디어 단말기 및 운영체계기술,과학기술정책/사회,응용연구,227300000,1158160000,20120301,20130228
2013,PTO-2013-0025652012,특허,유해 사이트 수집 장치 및 방법,10-2013-0136638,nan,숭실대학교 산학협력단;,"G06F 21/50,G06F 17/00",대한민국,nan,nan,nan,웹2.0 환경에서의 효율적인 클라우드 컴퓨팅을 위한 네트워크 및 자원 정보 처리 기법 연구,1711005328,교육부,숭실대학교,대학,정보검색 및 DB기술,정보이론,기초연구,61100000,61100000,20130501,20140430
2013,PTO-2013-0025652121,특허,인-파이프 로봇의 자세 추정 장치 및 방법,10-2013-0081148,nan,한국원자력연구원;,"B25J 9/10,G05D 1/08,B25J 9/16,B25J 19/02",대한민국,nan,nan,nan,해체공정 통합 평가 및 원격 제어기술 개발,1345202006,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,원자력시설 제염/해체 및 환경복원 기술,응용연구,2500000000,2500000000,20130301,20140228
2013,PTO-2013-0025654907,특허,인디루빈 유도체를 포함하는 골길이 성장 촉진용 조성물,10-2013-0081464,nan,연세대학교 산업협력단;,"A61K 31/404,A61K 31/403,A61P 19/00",대한민국,nan,nan,nan,한계극복용 Ras 단백질 안정성 제어  항암제 개발,1345202534,미래창조과학부,연세대학교,대학,바이오신약 개발기술,저분자의약품,기초연구,308000000,308000000,20130501,20140430
2013,PTO-2013-0025654781,특허,황색포도상구균 분별을 위한 미생물 배지,10-2013-0106623,nan,서울대학교산학협력단;,"C12Q 1/04,C12N 1/20",대한민국,nan,nan,nan,회전진동과 자성나노입자기반 식품내 다중위해물질 고속농축 원천 기술개발,1711000106,미래창조과학부,서울대학교,대학,식품생명공학기술,식품안전성평가,기초연구,300000000,400000000,20130901,20140731
2013,PTO-2013-0025411469,특허,작물 재배용 생력농기계,10-2013-0019128,nan,안성시농업기술센터;,"A01B 49/04,A01B 63/24",대한민국,nan,nan,nan,중부지역 적응 논 작부체계 단지조성 및 운영,1395032095,농촌진흥청,안성시농업기술센터,국공립연구소,기타 농업·해양·환경 응용기술,식량작물 재배/생산,응용연구,100000000,100000000,20130122,20131231
2013,PTO-2013-0025015980,특허,인삼품종 판별용 PNA 프로브 및 이를 포함하는 바이오칩,10-2013-0096546,nan,농촌진흥청;,"C12N 15/11,C12Q 1/68",대한민국,nan,nan,nan,국내산 인삼 및 약초의 품종 인증을 위한 바이오칩 개발(인삼특작시험연구),1395018357,농촌진흥청,국립원예특작과학원,국공립연구소,바이오칩 개발기술,식량작물과학,개발연구,300000000,300000000,20090101,20091231
2013,PTO-2013-0025414786,특허,로얄 젤리를 함유하는 구미 식품 조성물 및 그 제조 방법,10-2013-0150406,nan,주식회사 삼양제넥스;,A23L 21/10,대한민국,nan,nan,nan,국내산 로얄제리의 가공 기술 개발 및 제형 연구를 통한 건강기능식품 개별인정 신청,1395033714,농촌진흥청,삼양제넥스,중견기업,식품생명공학기술,기능성식품,개발연구,30000000,30000000,20130101,20131231
