성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류
2013,PTR-2013-0025496933,특허,MIC-1의 혈관신생유도 기능을 억제하는 항 MIC-1 단일클론항체 MBM-12,10-1346181-0000,nan,강원대학교산학협력단;,"C07K 16/24,C12N 15/70,A61K 39/395,A61K 39/00",대한민국,nan,nan,nan,"CD81 tetraspanin 분자에 의한 암 세포 이동, 침윤, 전이 조절",9991001900,교육부,강원대학교,대학,생명현상 및 기능연구,분자세포 생물학
2013,PTR-2013-0025493396,특허,뇌 신호를 이용한 생체 인증 장치 및 방법,10-1281852-0000,nan,고려대학교산학협력단;,"G06K 9/00,G06F 21/32,G06F 3/01",대한민국,nan,nan,nan,뇌정보공학 융합 기술 연구,1345212237,교육부,고려대학교,대학,신호처리기술(영상·음성처리·인식·합성),뇌공학
2013,PTR-2013-0025747185,특허,코리다리스 헤테로카르파로부터 분리된 (2'S)-콜룸비아네틴 및 이를 포함하는 조성물,10-1302038-0000,nan,부경대학교산학협력단;,"A61K 8/49,C07D 493/04,A61K 36/50,A61Q 17/04",대한민국,nan,nan,nan,해양생물 유래 생리활성 펩타이드의 임상평가를 통한 제품화 및 산업화,1615006326,해양수산부,부경대학교 산학협력단,대학,환경 생명공학기술,해양생물공정
2013,PTR-2013-0025493389,특허,전압 제어 발진 시스템,10-1232539-0000,nan,고려대학교산학협력단;,"H03L 7/099,H03K 3/03,H03K 3/354,H03K 5/13,H03K 5/00",대한민국,nan,nan,nan,뇌정보공학 융합 기술 연구,1345212237,교육부,고려대학교,대학,신호처리기술(영상·음성처리·인식·합성),뇌공학
2013,PTR-2013-0025747188,특허,감태 추출물을 주성분으로 하는 발모제 및 이를 함유하는 화장료 조성물,10-1313724-0000,nan,부경대학교산학협력단;,"A61K 8/49,A61K 31/357,A61K 8/9711,A61K 36/03,A61Q 7/00,A61P 17/14",대한민국,nan,nan,nan,해양생물 유래 생리활성 펩타이드의 임상평가를 통한 제품화 및 산업화,1615006326,해양수산부,부경대학교 산학협력단,대학,환경 생명공학기술,해양생물공정
2013,PTR-2013-0025746427,특허,미생물을 이용한 바이오 에탄올 생산방법,10-1284558-0000,nan,인하대학교산학협력단;,"C12P 7/06,C12N 1/16,C12R 1/745",대한민국,nan,nan,nan,해양에너지 특성화 대학원 지원사업(인하대학교),1615006334,해양수산부,인하대학교산학협력단,대학,기타 에너지기술,신재생에너지
2013,PTR-2013-0025744644,특허,초음파 송수신장치가 장착된 팬틸트 제어형 무인잠수정 위치 추적 시스템 및 방법,10-1307454-0000,nan,한국해양과학기술원;,"G01S 15/60,G01S 15/88,G01S 15/06,G01S 15/87,G01S 15/66",대한민국,nan,nan,nan,항만시설물 점검용 장비 기술 개발,1525003236,해양수산부,한국해양과학기술원,출연연구소,기타 해양환경기술,항만
2013,PTO-2013-0025745170,특허,수중 장거리 네트워크를 위한 시간분할 다중접속 매체접속제어 프로토콜,10-2013-0075586,nan,한국해양과학기술원;,"H04J 3/16,H04B 7/212,H04W 28/06,H04J 3/06,H04W 74/08",대한민국,nan,nan,nan,수중광역 이동통신시스템 개발,1525002957,해양수산부,한국해양과학기술원,출연연구소,기타 정보기술,해양레저/탐사장비
2013,PTR-2013-0025745166,특허,다중 입출력 통신 시스템의 신호 송수신 방법,10-1231214-0000,nan,한국해양과학기술원;,"H04B 7/04,H04L 1/06",대한민국,nan,nan,nan,수중광역 이동통신시스템 개발,1525002957,해양수산부,한국해양과학기술원,출연연구소,기타 정보기술,해양레저/탐사장비
2013,PTR-2013-0025745163,특허,무선 센서 네트워크에서 센서노드를 관리하는 장치 및 방법,10-1293951-0000,nan,강릉원주대학교산학협력단;,"H04W 24/04,H04W 84/18,H04W 64/00,G01S 19/31,H04W 52/02",대한민국,nan,nan,nan,수중광역 이동통신시스템 개발,1525002957,해양수산부,한국해양과학기술원,출연연구소,기타 정보기술,해양레저/탐사장비
2013,PTR-2013-0025745153,특허,수중 통신 시스템,10-1243278-0000,nan,강릉원주대학교산학협력단;,"H04B 11/00,H04B 13/02,H04W 84/20",대한민국,nan,nan,nan,수중광역 이동통신시스템 개발,1525002957,해양수산부,한국해양과학기술원,출연연구소,기타 정보기술,해양레저/탐사장비
